,StepTotal,StepTotal.1,StepTotal.2,StepTotal.3,StepTotal.4,StepTotal.5,StepTotal.6,StepTotal.7,StepTotal.8,StepTotal.9,StepTotal.10,StepTotal.11,StepTotal.12,StepTotal.13,StepTotal.14,StepTotal.15,StepTotal.16,StepTotal.17,StepTotal.18,StepTotal.19,StepTotal.20,StepTotal.21,StepTotal.22,StepTotal.23,StepTotal.24,StepTotal.25,StepTotal.26,StepTotal.27,StepTotal.28,StepTotal.29,StepTotal.30
27,18060.0,16433.0,20159.0,20669.0,14549.0,18827.0,17076.0,15929.0,15108.0,16057.0,10520.0,22359.0,22988.0,20500.0,12685.0,12422.0,15447.0,12315.0,7135.0,1170.0,14810.0,12209.0,4998.0,1969.0,15484.0,14581.0,14990.0,13953.0,19769.0,22026.0,12465.0
28,9033.0,8053.0,5234.0,2672.0,9256.0,10204.0,5151.0,4212.0,6466.0,11268.0,2824.0,9282.0,8905.0,6829.0,4562.0,10232.0,2718.0,6260.0,0.0,,,,,,,,,,,,
29,7626.0,12386.0,13318.0,14461.0,11207.0,2132.0,13630.0,13070.0,9388.0,15148.0,12200.0,5709.0,3703.0,12405.0,16208.0,7359.0,5417.0,6175.0,2946.0,11419.0,6582.0,9143.0,4561.0,6064.0,8712.0,7875.0,8567.0,7045.0,4468.0,2943.0,8382.0
30,5014.0,5571.0,3135.0,3430.0,5319.0,3008.0,3864.0,5697.0,5273.0,8538.0,8687.0,9423.0,8286.0,4503.0,10499.0,12474.0,6174.0,15168.0,10085.0,4512.0,8240.0,8701.0,0.0,8469.0,12015.0,3588.0,12427.0,5843.0,6117.0,9217.0,9877.0
31,2564.0,1320.0,1219.0,2483.0,244.0,0.0,0.0,0.0,3147.0,144.0,4068.0,5245.0,400.0,0.0,1321.0,1758.0,6157.0,8360.0,7174.0,1619.0,0.0,,,1831.0,2421.0,2283.0,0.0,0.0,0.0,0.0,0.0
32,23186.0,15337.0,21129.0,13422.0,29326.0,15118.0,11423.0,18785.0,19948.0,19377.0,18258.0,11200.0,16674.0,12986.0,11101.0,23629.0,14890.0,9733.0,27745.0,10930.0,10733.0,21420.0,8064.0,4790.0,10818.0,18193.0,14055.0,21727.0,12332.0,10686.0,20226.0
33,955.0,2837.0,6298.0,2830.0,3865.0,12614.0,2268.0,13017.0,2111.0,9126.0,10852.0,4738.0,12218.0,3723.0,5119.0,4079.0,2192.0,4693.0,1941.0,9060.0,8155.0,2010.0,5025.0,3040.0,3524.0,2250.0,7809.0,3938.0,8039.0,4031.0,9295.0
34,3398.0,2766.0,6538.0,5771.0,6447.0,2402.0,4680.0,4012.0,2195.0,6152.0,13516.0,2383.0,2811.0,3682.0,8581.0,6699.0,4770.0,4181.0,4325.0,9405.0,5719.0,3899.0,4526.0,3446.0,3943.0,8234.0,3526.0,2623.0,7503.0,3208.0,4623.0
35,3122.0,7198.0,2762.0,2099.0,10497.0,6738.0,4000.0,5083.0,18744.0,4248.0,3286.0,4115.0,6298.0,6687.0,8156.0,3461.0,5265.0,2744.0,10347.0,3560.0,8032.0,6430.0,6476.0,7183.0,5499.0,6211.0,4442.0,7772.0,12489.0,3864.0,6717.0
36,4022.0,3792.0,9113.0,5477.0,5530.0,13059.0,9022.0,3613.0,7314.0,3057.0,11477.0,7681.0,7665.0,4885.0,2762.0,8062.0,3153.0,5004.0,6702.0,5725.0,9706.0,3700.0,6185.0,6902.0,8035.0,5099.0,6826.0,8274.0,4136.0,3019.0,3133.0
37,4342.0,22242.0,9327.0,16368.0,9277.0,3106.0,2641.0,11812.0,3729.0,5558.0,5370.0,7961.0,12664.0,6234.0,12490.0,9880.0,5923.0,5772.0,5197.0,7145.0,5132.0,5145.0,8616.0,7168.0,5618.0,10849.0,8593.0,4216.0,3620.0,15875.0,3614.0
